date,julian
5.2,140
5.21,141
5.22,142
5.23,143
5.24,144
5.25,145
5.26,146
5.27,147
5.28,148
5.29,149
5.3,150
5.31,151
6,152
6.01,153
6.02,154
6.03,155
6.04,156
6.05,157
6.06,158
6.07,159
6.08,160
6.09,161
6.1,162
6.11,163
6.12,164
6.13,165
6.14,166
6.15,167
6.16,168
6.17,169
6.18,170
6.19,171
6.2,172
6.21,173
6.22,174
6.23,175
6.24,176
6.25,177
6.26,178
6.27,179
6.28,180
6.29,181
6.3,182
7,183
7.01,184
7.02,185
7.03,186
7.04,187
7.05,188
7.06,189
7.07,190
7.08,191
7.09,192
7.1,193
7.11,194
7.12,195
7.13,196
7.14,197
7.15,198
7.16,199
7.17,200
7.18,201
7.19,202
7.2,203
7.21,204
7.22,205
7.23,206
7.24,207
7.25,208
7.26,209
7.27,210
7.28,211
7.29,212
7.3,213
7.31,214
8,215
8.01,216
8.02,217
8.03,218
8.04,219
8.05,220
8.06,221
8.07,222
8.08,223
8.09,224
8.1,225
8.11,226
