butterfly_common,genus,species,butterfly_scientific,family,subfamily,spp_greatest_cyesnservatiyesn_need,l48_status,plant_host_family
Sleepy Orange,Abaeis,nicippe,Abaeis nicippe,Pieridae,Coliadinae,,native,
Goatweed Leafwing,Anaea,andria,Anaea andria,Nymphalidae,Charaxinae,,native,
Delaware Skipper,Anatrytone,logan,Anatrytone logan,Hesperiidae,Hesperiinae,yes,native,Poaceae
Least Skipper,Ancyloxypha,numitor,Ancyloxypha numitor,Hesperiidae,Hesperiinae,yes,native,Poaceae
Hackberry Emperor,Asterocampa,celtis,Asterocampa celtis,Nymphalidae,Apaturinae,yes,native,Cannabaceae
Sachem,Atalopedes,campestris,Atalopedes campestris,Hesperiidae,Hesperiinae,,native,
Meadow Fritillary,Boloria,bellona,Boloria bellona,Nymphalidae,Heliconiinae,yes,native,Violaceae
Juniper Hairstreak,Callophrys,gryneus,Callophrys gryneus,Lycaenidae,Theclinae,,native,
Spring Azure,Celastrina,ladon,Celastrina ladon,Lycaenidae,Polyommatinae,yes,native,Adoxaceae/Rosaceae/Cornaceae/Rhamnaceae
Summer Azure,Celastrina,neglecta,Celastrina neglecta,Lycaenidae,Polyommatinae,yes,native,Adoxaceae/Rosaceae/Cornaceae/Rhamnaceae
Common Wood Nymph,Cercyonis,pegala,Cercyonis pegala,Nymphalidae,Satyrinae,yes,native,Poaceae
Gorgone Checkerspot,Chlosyne,gorgone,Chlosyne gorgone,Nymphalidae,Nymphalinae,no,native,Asteraceae
Silvery Checkerspot,Chlosyne,nycteis,Chlosyne nycteis,Nymphalidae,Nymphalinae,yes,native,Asteraceae
Orange Sulphur,Colias,eurytheme,Colias eurytheme,Pieridae,Coliadinae,yes,native,Fabaceae
Clouded Sulphur,Colias,philodice,Colias philodice,Pieridae,Coliadinae,yes,native,Fabaceae
Eastern Tailed Blue,Cupido,comyntas,Cupido comyntas,Lycaenidae,Polyommatinae,yes,native,Fabaceae
Monarch,Danaus,plexippus,Danaus plexippus,Nymphalidae,Danainae,no,native,Apocynaceae
Northern Pearly Eye,Enodia,anthedon,Enodia anthedon,Nymphalidae,Satyrinae,,native,
Silver-Spotted Skipper,Epargyreus,clarus,Epargyreus clarus,Hesperiidae,Pyrginae,yes,native,Fabaceae
Indigo Duskywing,Erynnis,baptisiae,Erynnis baptisiae,Hesperiidae,Pyrginae,no,native,Fabaceae
Horace's Duskywing,Erynnis,horatius,Erynnis horatius,Hesperiidae,Pyrginae,,native,Fagaceae
Unknown Duskywing,Erynnis,sp.,Erynnis sp.,Hesperiidae,Pyrginae,unknown,unknown,unknown
Two-Spotted Skipper,Euphyes,bimacula,Euphyes bimacula,Hesperiidae,Hesperiinae,no,native,Cyperaceae
Dun Skipper,Euphyes,vestris,Euphyes vestris,Hesperiidae,Hesperiinae,yes,native,Unk
Variegated Fritillary,Euptoeita,claudia,Euptoeita claudia,Nymphalidae,Heliconiinae,yes,native,Violaceae
Zebra Swallowtail,Eurytides,marcellus,Eurytides marcellus,Papilionidae,Papilioninae,no,native,Annonaceae
Fiery Skipper,Hylephila,phyleus,Hylephila phyleus,Hesperiidae,Hesperiinae,yes,native,
Common Buckeye,Junonia,coenia,Junonia coenia,Nymphalidae,Nymphalinae,yes,native,Plantaginaceae/Acanthaceae/Scrophulariaceae
Viceroy,Limenitis,archippus,Limenitis archippus,Nymphalidae,Limenitidinae,yes,native,Salicaceae
Red-Spotted Purple,Limenitis,arthemis,Limenitis arthemis,Nymphalidae,Limenitidinae,yes,native,Fagaceae/Salicaceae/Rosaceae
Melissa Blue,Lycaedies,melissa,Lycaedies melissa,Lycaenidae,Polyommatinae,no,native,
Gray Copper,Lycaena,dione,Lycaena dione,Lycaenidae,Lycaeninae,yes,native,Polygonaceae
Bronze Copper,Lycaena,hyllus,Lycaena hyllus,Lycaenidae,Lycaeninae,yes,native,Polygonaceae
Little Wood Satyr,Megisto,cymela,Megisto cymela,Nymphalidae,Satyrinae,yes,native,Poaceae
Dainty Sulphur,Nathalis,iole,Nathalis iole,Pieridae,Coliadinae,yes,native,Asteraceae
Mourning Cloak,Nymphalis,antiopa,Nymphalis antiopa,Nymphalidae,Nymphalinae,yes,native,Salicaceae/Ulmaceae/Cannabaceae
Giant Swallowtail,Papilio,cresphontes,Papilio cresphontes,Papilionidae,Papilioninae,yes,native,Oleaceae
