nectar_common,genus,species,nectar_scientific,family,seedmix,l48_status,other_common_names
Yarrow,Achillea,millefollium,Achillea millefollium,Asteraceae,O,N,
Swamp Agrimony,Agrimonia,parviflora,Agrimonia parviflora,Rosaceae,O,N,
Unknown Agrimony,Agrimonia,sp.,Agrimonia sp.,Rosaceae,–,–,
Wild Onion,Allium,sp.,Allium sp.,Amaryllidaceae,O,E,
Wild Garlic,Allium,ursinum,Allium ursinum,Amaryllidaceae,O,E,
Lead plant,Amorpha,canescens,Amorpha canescens,Fabaceae,X,N,
Canada Anemone,Anemone,canadensis,Anemone canadensis,Ranunculaceae,O,N,
Thimbleweed,Anemone,cylindrica,Anemone cylindrica,Ranunculaceae,O,N,
Pussy Toes,Antennaria,plantaginifolia,Antennaria plantaginifolia,Asteraceae,O,N,
Dogbane,Apocynum,cannabinum,Apocynum cannabinum,Apocynaceae,O,N,Indian Hemp
Clasping Dogbane,Apocynum,sibiricum,Apocynum sibiricum,Apocynaceae,O,N,
Prairie Plantain,Arnoglossum,plantagineum,Arnoglossum plantagineum,Asteraceae,O,N,
Antelope Horns,Asclepias,asperula,Asclepias asperula,Apocynaceae,O,N,
Tall Green Milkweed,Asclepias,hirtella,Asclepias hirtella,Apocynaceae,O,N,
Swamp Milkweed,Asclepias,incarnata,Asclepias incarnata,Apocynaceae,X,N,Blue Vervain
Purple Milkweed,Asclepias,purpurascens,Asclepias purpurascens,Apocynaceae,O,N,
Prairie Milkweed,Asclepias,sullivantii,Asclepias sullivantii,Apocynaceae,O,N,
Common Milkweed,Asclepias,syriaca,Asclepias syriaca,Apocynaceae,X,N,
Butterfly Milkweed,Asclepias,tuberosa,Asclepias tuberosa,Apocynaceae,X,N,
Whorled Milkweed,Asclepias,verticillata,Asclepias verticillata,Apocynaceae,O,N,
Unknown Aster,Aster,sp.,Aster sp.,Asteraceae,–,–,
White Wild Indigo,Baptisia,alba,Baptisia alba,Fabaceae,X,N,Wild White Indigo; Wild Indigo; White Indigo
Rapeseed,Brassica,napus,Brassica napus,Brassicaceae,O,E,
American Bellflower,Campanula,americana,Campanula americana,Campanulaceae,O,N,
Shepherd's Purse,Capsella,bursa-pastoris,Capsella bursa-pastoris,Brassicaceae,O,E,
Musk Thistle,Carduus,nutans,Carduus nutans,Asteraceae,O,E,
New Jersey Tea,Ceanothus,americanus,Ceanothus americanus,Rhamnaceae,O,N,
Cornflower,Centaurea,cyanus,Centaurea cyanus,Asteraceae,O,E,Bachelor's Button
Gray Chickweed,Cerastium,brachypetalum,Cerastium brachypetalum,Caryophyllaceae,O,E,
Partridge Pea,Chamaecrista,fasciculata,Chamaecrista fasciculata,Fabaceae,O,N,
Turtle Head,Chelone,glabra,Chelone glabra,Scrophulariacea,O,N,
Chicory,Cichorium,intybus,Cichorium intybus,Asteraceae,O,E,
Unknown Thistle,Cirsium,sp.,Cirsium sp.,Asteraceae,–,–,
Bull Thistle,Cirsium,vulgare,Cirsium vulgare,Asteraceae,O,E,Spear Thistle
Croton,Codiaeum,variegatum,Codiaeum variegatum,Euphorbiaceae,O,E,Garden Croton
Morning Glory,Convolvulus,arvensis,Convolvulus arvensis,Convolvulaceae,O,E,Bindweed; Field Bindweed; Wild Sweet Potato
Prairie Coreopsis,Coreopsis,palmata,Coreopsis palmata,Asteraceae,X,N,
Unknown Tickseed,Coreopsis,sp.,Coreopsis sp.,Asteraceae,–,–,
Tall Coreopsis,Coreopsis,tripteris,Coreopsis tripteris,Asteraceae,X,N,
Osier Dogwood,Cornus,sericea,Cornus sericea,Cornaceae,O,N,
White Prairie Clover,Dalea,candida,Dalea candida,Fabaceae,O,N,
Purple Prairie Clover,Dalea,purpurea,Dalea purpurea,Fabaceae,X,N,
Unknown Prairie Clover,Dalea,sp.,Dalea sp.,Fabaceae,–,–,
Queen Anne's Lace,Daucus,carota,Daucus carota,Apiaceae,O,E,
Unknown Larkspur,Delphinium,sp.,Delphinium sp.,Ranunculaceae,O,E,
Illinois bundleflower,Desmanthus,illinoensis,Desmanthus illinoensis,Fabaceae,X,N,
Showy Tick Trefoil,Desmodium,canadense,Desmodium canadense,Fabaceae,X,N,
Tall Tick Trefoil,Desmodium,glabellum,Desmodium glabellum,Fabaceae,O,N,
Unknown Tick Trefoil,Desmodium,sp.,Desmodium sp.,Fabaceae,–,–,
Deptford Pink,Dianthus,armeria,Dianthus armeria,Caryophyllaceae,O,E,
Prairie Cinquefoil,Drymocallis,arguta,Drymocallis arguta,Rosaceae,X,N,Tall Cinquefoil
Pale Purple Coneflower,Echinacea,pallida,Echinacea pallida,Asteraceae,X,N,
Purple Coneflower,Echinacea,purpurea,Echinacea purpurea,Asteraceae,X,N,Fragrant Coneflower
Daisy Fleabane,Erigeron,annuus,Erigeron annuus,Asteraceae,O,N,
Unknown Fleabane,Erigeron,sp.,Erigeron sp.,Asteraceae,–,–,
Prairie Fleabane,Erigeron,strigosus,Erigeron strigosus,Asteraceae,O,N,
Rattlesnake Master,Eryngium,yuccifolium,Eryngium yuccifolium,Apiaceae,X,N,
Tall Boneset,Eupatorium,altissimum,Eupatorium altissimum,Asteraceae,X,N,
Common Boneset,Eupatorium,perfoliatum,Eupatorium perfoliatum,Asteraceae,O,N,
Flowering Spurge,Euphorbia,corollata,Euphorbia corollata,Euphorbiaceae,O,N,
Strawberry,Fragaria,virginiana,Fragaria virginiana,Rosaceae,O,N,
Sticky Bedstraw,Galium,aparine,Galium aparine,Rubiaceae,O,E,
Pretty Bedstraw,Galium,concinnum,Galium concinnum,Rubiaceae,O,N,
Bluntleaf Bedstraw,Galium,obtusum,Galium obtusum,Rubiaceae,O,N,
Unknown Bedstraw,Galium,sp.,Galium sp.,Rubiaceae,–,–,
Unknown Beeblossom,Gaura,sp.,Gaura sp.,Onagraceae,–,–,
White Avens,Geum,canadense,Geum canadense,Rosaceae,O,N,
Creeping Charlie,Glechoma,hederacea,Glechoma hederacea,Lamiaceae,O,E,Ground-ivy
Sawtooth Sunflower,Helianthus,grosseserratus,Helianthus grosseserratus,Asteraceae,O,N,
Stiff Sunflower,Helianthus,pauciflorus,Helianthus pauciflorus,Asteraceae,O,N,
Unknown Sunflower,Helianthus,sp.,Helianthus sp.,Asteraceae,–,–,
